1730928581 - [INFO][LOGGER] Logger Initialized
1730928581 - [INFO][LOADER] Attempting to loading 2 APIs...
1730928581 - [INFO][APP] Loading UI
1730928581 - [INFO][LOADER] Loading NexusMods (1/2)
1730928581 - [INFO][APP] Creating Viewport
1730928581 - [INFO][LOADER] NexusMods API Required Auth/Login
1730928581 - [INFO][APP] Setting up dearpygui
1730928581 - [INFO][LOADER] Logged in to NexusMods
1730928581 - [INFO][LOADER] Loading ThunderStore (2/2)
1730928581 - [INFO][THUNDERSTORE] Loading Cache
1730928581 - [INFO][THUNDERSTORE] No cache found! Generating empty cache
1730928581 - [INFO][LOADER] Logged in to ThunderStore
1730928582 - [INFO][THUNDERSTORE] GET | Mod List | Took 1195ms
1730928582 - [INFO][THUNDERSTORE] Cache | Pulled 5416 mods
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | r2modman | f21c391c-0bc5-431d-a233-95323b95e01b
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | BepInExPack | 4c253b36-fd0b-4e6d-b4d8-b227972af4da
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | R2API | 75541a7e-8bfc-4585-a842-5dbf1aae5b3d
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Eclipsed_Shores | ba73bb39-5a86-4ab9-8fc5-8f7520f81650
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Megalomania | 1e374f3a-2845-4036-9c15-67a337312ab7
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | RiskUIRevived | eee10962-49f9-4091-843d-33f8a04b9620
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Mega_Tempest | 3bf675dd-9a25-4c4f-b77f-e6021b7e5f01
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | Orbliterate | 9517ee69-bfd5-46f8-8aaa-29d304ecc732
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | SquibbinQOLPack | 37dbdbf9-7c9a-4538-b893-9eb66d161263
1730928582 - [INFO][THUNDERSTORE] Preparing Mod | AutoSprint | d32f017a-c6cf-49ee-b1da-48c3deb3e472
